,Type,Duration(us),Name
683,ReluGrad,8.6,
684,BNTrainingGrad,204.104,BNTrainingGrad
685,Conv2DBackpropInput,463.729,Conv2DBackpropInput
686,Conv2DBackpropFilter,141.86199999999997,Conv2DBackpropFilter
687,ReluGrad,8.54,
688,BNTrainingGrad,204.38400000000001,BNTrainingGrad
689,Conv2DBackpropInput,306.147,Conv2DBackpropInput
690,Conv2DBackpropFilter,96.281,Conv2DBackpropFilter
691,Add,9.52,
692,ReluGrad,14.0,
693,BNTrainingGrad,696.274,BNTrainingGrad
694,Conv2DBackpropInput,284.92500000000007,Conv2DBackpropInput
695,Conv2DBackpropFilter,123.38199999999999,Conv2DBackpropFilter
696,ReluGrad,8.6,
697,BNTrainingGrad,204.144,BNTrainingGrad
698,Conv2DBackpropInput,462.35,Conv2DBackpropInput
699,Conv2DBackpropFilter,142.483,Conv2DBackpropFilter
700,ReluGrad,8.54,
701,BNTrainingGrad,204.003,BNTrainingGrad
702,Conv2DBackpropInput,312.22700000000003,Conv2DBackpropInput
703,Conv2DBackpropFilter,97.281,Conv2DBackpropFilter
704,Add,9.62,
705,ReluGrad,13.84,
706,BNTrainingGrad,695.654,BNTrainingGrad
707,Conv2DBackpropInput,289.166,Conv2DBackpropInput
708,Conv2DBackpropFilter,124.48200000000001,Conv2DBackpropFilter
709,ReluGrad,8.7,
710,BNTrainingGrad,204.724,BNTrainingGrad
711,Conv2DBackpropInput,462.729,Conv2DBackpropInput
712,Conv2DBackpropFilter,142.662,Conv2DBackpropFilter
713,ReluGrad,8.46,
714,BNTrainingGrad,204.12400000000002,BNTrainingGrad
715,Conv2DBackpropInput,305.547,Conv2DBackpropInput
716,Conv2DBackpropFilter,98.441,Conv2DBackpropFilter
717,Add,9.54,
718,ReluGrad,14.16,
719,BNTrainingGrad,695.134,BNTrainingGrad
720,Conv2DBackpropInput,284.426,Conv2DBackpropInput
721,Conv2DBackpropFilter,124.14200000000001,Conv2DBackpropFilter
722,ReluGrad,8.64,
723,BNTrainingGrad,203.66400000000002,BNTrainingGrad
724,Conv2DBackpropInput,464.149,Conv2DBackpropInput
725,Conv2DBackpropFilter,142.383,Conv2DBackpropFilter
726,ReluGrad,8.44,
727,BNTrainingGrad,205.084,BNTrainingGrad
728,Conv2DBackpropInput,305.446,Conv2DBackpropInput
729,Conv2DBackpropFilter,97.262,Conv2DBackpropFilter
730,Add,9.52,
731,ReluGrad,13.92,
732,BNTrainingGrad,696.2139999999999,BNTrainingGrad
733,Conv2DBackpropInput,285.76399999999995,Conv2DBackpropInput
734,Conv2DBackpropFilter,124.862,Conv2DBackpropFilter
735,ReluGrad,8.56,
736,BNTrainingGrad,204.504,BNTrainingGrad
737,Conv2DBackpropInput,461.90899999999993,Conv2DBackpropInput
738,Conv2DBackpropFilter,143.404,Conv2DBackpropFilter
739,ReluGrad,8.46,
740,BNTrainingGrad,204.94400000000002,BNTrainingGrad
741,Conv2DBackpropInput,309.285,Conv2DBackpropInput
742,Conv2DBackpropFilter,98.002,Conv2DBackpropFilter
743,Add,9.52,
744,ReluGrad,14.021,
745,BNTrainingGrad,695.134,BNTrainingGrad
746,Conv2DBackpropInput,285.124,Conv2DBackpropInput
747,Conv2DBackpropFilter,127.683,Conv2DBackpropFilter
748,ReluGrad,8.68,
749,BNTrainingGrad,208.084,BNTrainingGrad
750,Conv2DBackpropInput,462.329,Conv2DBackpropInput
751,Conv2DBackpropFilter,141.982,Conv2DBackpropFilter
752,ReluGrad,9.06,
753,BNTrainingGrad,206.424,BNTrainingGrad
754,Conv2DBackpropInput,306.565,Conv2DBackpropInput
755,Conv2DBackpropFilter,96.941,Conv2DBackpropFilter
756,Add,9.56,
757,ReluGrad,13.86,
758,BNTrainingGrad,695.2339999999999,BNTrainingGrad
759,Conv2DBackpropInput,286.027,Conv2DBackpropInput
760,Conv2DBackpropFilter,124.622,Conv2DBackpropFilter
761,ReluGrad,14.34,
762,BNTrainingGrad,204.584,BNTrainingGrad
763,Conv2DBackpropInput,463.349,Conv2DBackpropInput
764,Conv2DBackpropFilter,142.224,Conv2DBackpropFilter
765,ReluGrad,8.48,
766,BNTrainingGrad,204.484,BNTrainingGrad
767,Conv2DBackpropInput,305.50600000000003,Conv2DBackpropInput
768,Conv2DBackpropFilter,98.862,Conv2DBackpropFilter
769,Add,9.52,
770,ReluGrad,14.08,
771,BNTrainingGrad,694.494,BNTrainingGrad
772,Conv2DBackpropInput,285.20500000000004,Conv2DBackpropInput
773,Conv2DBackpropFilter,124.442,Conv2DBackpropFilter
774,ReluGrad,8.62,
775,BNTrainingGrad,204.38400000000001,BNTrainingGrad
776,Conv2DBackpropInput,461.688,Conv2DBackpropInput
777,Conv2DBackpropFilter,142.522,Conv2DBackpropFilter
778,ReluGrad,8.52,
779,BNTrainingGrad,204.704,BNTrainingGrad
780,Conv2DBackpropInput,309.467,Conv2DBackpropInput
781,Conv2DBackpropFilter,98.882,Conv2DBackpropFilter
782,Add,9.48,
783,ReluGrad,13.86,
784,BNTrainingGrad,695.794,BNTrainingGrad
785,Conv2DBackpropInput,284.54499999999996,Conv2DBackpropInput
786,Conv2DBackpropFilter,127.082,Conv2DBackpropFilter
787,ReluGrad,8.58,
788,BNTrainingGrad,204.644,BNTrainingGrad
789,Conv2DBackpropInput,463.948,Conv2DBackpropInput
790,Conv2DBackpropFilter,144.862,Conv2DBackpropFilter
791,ReluGrad,8.48,
792,BNTrainingGrad,204.224,BNTrainingGrad
793,Conv2DBackpropInput,306.226,Conv2DBackpropInput
794,Conv2DBackpropFilter,98.921,Conv2DBackpropFilter
795,Add,9.62,
796,ReluGrad,14.181,
797,BNTrainingGrad,694.8140000000001,BNTrainingGrad
798,Conv2DBackpropInput,289.385,Conv2DBackpropInput
799,Conv2DBackpropFilter,123.642,Conv2DBackpropFilter
800,ReluGrad,8.6,
801,BNTrainingGrad,204.864,BNTrainingGrad
802,Conv2DBackpropInput,463.469,Conv2DBackpropInput
803,Conv2DBackpropFilter,143.984,Conv2DBackpropFilter
804,ReluGrad,8.52,
805,BNTrainingGrad,204.524,BNTrainingGrad
806,Conv2DBackpropInput,305.946,Conv2DBackpropInput
807,Conv2DBackpropFilter,96.70100000000001,Conv2DBackpropFilter
808,Add,9.48,
809,ReluGrad,14.12,
810,BNTrainingGrad,699.114,BNTrainingGrad
811,Conv2DBackpropInput,285.105,Conv2DBackpropInput
812,Conv2DBackpropFilter,134.64299999999997,Conv2DBackpropFilter
813,ReluGrad,8.6,
814,BNTrainingGrad,204.204,BNTrainingGrad
815,Conv2DBackpropInput,464.30899999999997,Conv2DBackpropInput
816,Conv2DBackpropFilter,143.044,Conv2DBackpropFilter
817,ReluGrad,8.46,
818,BNTrainingGrad,204.184,BNTrainingGrad
819,Conv2DBackpropInput,305.74699999999996,Conv2DBackpropInput
820,Conv2DBackpropFilter,96.801,Conv2DBackpropFilter
821,Add,12.36,
822,ReluGrad,14.08,
823,BNTrainingGrad,694.274,BNTrainingGrad
824,Conv2DBackpropInput,287.56500000000005,Conv2DBackpropInput
825,Conv2DBackpropFilter,125.242,Conv2DBackpropFilter
826,ReluGrad,8.64,
827,BNTrainingGrad,204.12400000000002,BNTrainingGrad
828,Conv2DBackpropInput,461.09,Conv2DBackpropInput
829,Conv2DBackpropFilter,141.28199999999998,Conv2DBackpropFilter
830,ReluGrad,8.48,
831,BNTrainingGrad,205.224,BNTrainingGrad
832,Conv2DBackpropInput,305.126,Conv2DBackpropInput
833,Conv2DBackpropFilter,102.522,Conv2DBackpropFilter
834,Add,9.42,
835,ReluGrad,13.56,
836,BNTrainingGrad,696.094,BNTrainingGrad
837,Conv2DBackpropInput,288.28700000000003,Conv2DBackpropInput
838,Conv2DBackpropFilter,122.882,Conv2DBackpropFilter
839,ReluGrad,8.7,
840,BNTrainingGrad,204.464,BNTrainingGrad
