ID,Type,Duration(ms)
523,Conv2DBackpropInput,0.6605319999999999
524,Conv2DBackpropFilter,0.245844
526,A_BNTrainingUpdateGrad,0.118702
527,A_BNTrainingReduceGrad,0.00956
528,Conv2DBackpropInput,1.653352
529,Conv2DBackpropFilter,0.583351
531,A_BNTrainingUpdateGrad,0.119862
532,A_BNTrainingReduceGrad,0.00954
533,Conv2DBackpropInput,0.716473
534,Conv2DBackpropFilter,0.242704
535,Add,0.008539999999999999
536,ReluGrad,0.012001
537,A_BNTrainingUpdateGrad,0.36274700000000004
538,A_BNTrainingReduceGrad,0.012060000000000001
539,Conv2DBackpropInput,0.653392
540,Conv2DBackpropFilter,0.243024
542,A_BNTrainingUpdateGrad,0.119702
543,A_BNTrainingReduceGrad,0.00958
544,Conv2DBackpropInput,1.6498130000000002
545,Conv2DBackpropFilter,0.568671
547,A_BNTrainingUpdateGrad,0.119582
548,A_BNTrainingReduceGrad,0.009640000000000001
549,Conv2DBackpropInput,0.717195
550,Conv2DBackpropFilter,0.24400400000000003
551,Add,0.00956
552,ReluGrad,0.01192
553,A_BNTrainingUpdateGrad,0.36362700000000003
554,A_BNTrainingReduceGrad,0.01202
555,Conv2DBackpropInput,1.5645320000000003
556,Conv2DBackpropFilter,0.46126799999999996
557,A_BNTrainingUpdateGrad,0.366267
558,A_BNTrainingReduceGrad,0.01208
559,Conv2DBackpropInput,0.6537919999999999
560,Conv2DBackpropFilter,0.24212400000000003
562,A_BNTrainingUpdateGrad,0.11914200000000001
563,A_BNTrainingReduceGrad,0.00948
564,Conv2DBackpropInput,1.6218730000000003
565,Conv2DBackpropFilter,0.5757720000000001
567,A_BNTrainingUpdateGrad,0.190285
568,A_BNTrainingReduceGrad,0.24354499999999998
569,Conv2DBackpropInput,0.528371
570,Conv2DBackpropFilter,0.17166399999999998
571,Add,0.00954
572,ReluGrad,0.01392
573,A_BNTrainingUpdateGrad,0.253485
574,A_BNTrainingReduceGrad,0.441369
575,Conv2DBackpropInput,0.286246
576,Conv2DBackpropFilter,0.13008200000000003
578,A_BNTrainingUpdateGrad,0.12176300000000001
579,A_BNTrainingReduceGrad,0.086002
580,Conv2DBackpropInput,0.46286900000000003
581,Conv2DBackpropFilter,0.141623
583,A_BNTrainingUpdateGrad,0.121862
584,A_BNTrainingReduceGrad,0.082662
585,Conv2DBackpropInput,0.307227
586,Conv2DBackpropFilter,0.09940200000000002
587,Add,0.00956
588,ReluGrad,0.01392
589,A_BNTrainingUpdateGrad,0.255485
590,A_BNTrainingReduceGrad,0.440189
591,Conv2DBackpropInput,0.285165
592,Conv2DBackpropFilter,0.12360200000000002
594,A_BNTrainingUpdateGrad,0.121502
595,A_BNTrainingReduceGrad,0.08260200000000001
596,Conv2DBackpropInput,0.464308
597,Conv2DBackpropFilter,0.143482
599,A_BNTrainingUpdateGrad,0.121742
600,A_BNTrainingReduceGrad,0.082662
601,Conv2DBackpropInput,0.306707
602,Conv2DBackpropFilter,0.097801
603,Add,0.009519999999999999
604,ReluGrad,0.0143
605,A_BNTrainingUpdateGrad,0.255485
606,A_BNTrainingReduceGrad,0.439629
607,Conv2DBackpropInput,0.286385
608,Conv2DBackpropFilter,0.124782
610,A_BNTrainingUpdateGrad,0.121622
611,A_BNTrainingReduceGrad,0.08238200000000001
612,Conv2DBackpropInput,0.46132799999999996
613,Conv2DBackpropFilter,0.142103
615,A_BNTrainingUpdateGrad,0.121722
616,A_BNTrainingReduceGrad,0.082701
617,Conv2DBackpropInput,0.30694600000000005
618,Conv2DBackpropFilter,0.096902
619,Add,0.00948
620,ReluGrad,0.013859999999999999
621,A_BNTrainingUpdateGrad,0.25514499999999996
622,A_BNTrainingReduceGrad,0.440229
623,Conv2DBackpropInput,0.288546
624,Conv2DBackpropFilter,0.125742
626,A_BNTrainingUpdateGrad,0.122162
627,A_BNTrainingReduceGrad,0.08246200000000001
628,Conv2DBackpropInput,0.46174800000000005
629,Conv2DBackpropFilter,0.141563
631,A_BNTrainingUpdateGrad,0.122042
632,A_BNTrainingReduceGrad,0.082662
633,Conv2DBackpropInput,0.30594600000000005
634,Conv2DBackpropFilter,0.096941
635,Add,0.009640000000000001
636,ReluGrad,0.013980000000000001
637,A_BNTrainingUpdateGrad,0.254566
638,A_BNTrainingReduceGrad,0.44000900000000004
639,Conv2DBackpropInput,0.286826
640,Conv2DBackpropFilter,0.125882
642,A_BNTrainingUpdateGrad,0.122542
643,A_BNTrainingReduceGrad,0.082401
644,Conv2DBackpropInput,0.460748
645,Conv2DBackpropFilter,0.141882
647,A_BNTrainingUpdateGrad,0.121882
648,A_BNTrainingReduceGrad,0.082901
649,Conv2DBackpropInput,0.307347
