tensor_id,size_B,birth_kid,death_kid,hidden_interval_num,inactive_time
1742,393216,286,358,1,39696.8
1743,4096,286,358,1,39696.8
1751,393216,288,353,1,38501.8
1754,393216,354,361,1,1268.76
1755,393216,289,351,1,37754.9
1761,393216,289,353,1,37956.7
1762,4096,289,353,1,37956.7
1770,393216,349,356,1,1285.08
1772,786432,291,310,1,4272.4
1773,458752,292,347,1,31485.4
1776,2097152,348,372,1,5204.48
1777,458752,293,345,1,29808.7
1783,458752,293,347,1,31158.0
1784,4096,293,347,1,31158.0
1792,393216,295,342,1,27558.3
1796,393216,296,340,4,134.961
1802,393216,296,342,1,27407.8
1803,4096,296,342,1,27407.8
1811,393216,298,336,1,26326.1
1815,393216,299,334,2,638.512
1821,393216,299,336,1,26038.6
1822,4096,299,336,1,26038.6
1830,393216,301,331,1,24673.5
1833,393216,332,339,1,1013.86
1834,393216,302,329,1,24270.6
1840,393216,302,331,1,24384.7
1841,4096,302,331,1,24384.7
1849,393216,327,334,1,1007.54
1851,786432,304,310,1,1652.67
1852,2097152,305,326,1,19720.6
1853,2097152,326,372,1,16070.9
1854,196608,306,324,1,18820.1
1858,196608,307,322,1,18701.8
1864,196608,307,324,1,18727.2
1865,4096,307,324,1,18727.2
1873,327680,320,367,1,18694.9
1874,786432,320,350,1,14764.2
1875,786432,320,328,1,3897.76
1880,2097152,311,318,1,18128.5
1881,2097152,311,315,1,7195.98
1885,2097152,315,318,1,4731.6
