,Type,Duration(ms)
462,Conv2DBackpropInput,0.6113800000000001
463,Conv2DBackpropFilter,0.1573
464,ReluGrad,0.03172
465,A_BNTrainingUpdateGrad,0.17732
466,A_BNTrainingReduceGrad,0.12946000000000002
467,Conv2DBackpropInput,0.6914600000000001
468,Conv2DBackpropFilter,0.2931
469,Add,0.28564
470,Slice,0.02268
471,ReluGrad,0.056960000000000004
472,A_BNTrainingUpdateGrad,0.1793
473,A_BNTrainingReduceGrad,0.13096000000000002
474,Conv2DBackpropInput,0.69328
475,Conv2DBackpropFilter,0.29448
476,AvgPool2d_Backward,1.2597799999999997
477,Slice,0.05328
478,ReluGrad,0.06712
479,A_BNTrainingUpdateGrad,0.17782
480,A_BNTrainingReduceGrad,0.13056
481,Conv2DBackpropInput,0.46386
482,Conv2DBackpropFilter,0.2714
483,ReluGrad,0.02922
484,A_BNTrainingUpdateGrad,0.17701999999999998
485,A_BNTrainingReduceGrad,0.13062
486,Conv2DBackpropInput,0.47487999999999997
487,Conv2DBackpropFilter,0.27914
488,ReluGrad,0.0285
489,A_BNTrainingUpdateGrad,0.17944
490,A_BNTrainingReduceGrad,0.13113999999999998
491,Conv2DBackpropInput,0.47116
492,Conv2DBackpropFilter,0.2723
493,ReluGrad,0.02934
494,A_BNTrainingUpdateGrad,0.17814
495,A_BNTrainingReduceGrad,0.13069999999999998
496,Conv2DBackpropInput,0.47304
497,Conv2DBackpropFilter,0.27878
498,ReluGrad,0.02952
499,A_BNTrainingUpdateGrad,0.17962
500,A_BNTrainingReduceGrad,0.12969999999999998
501,Conv2DBackpropInput,0.6928200000000001
502,Conv2DBackpropFilter,0.29285999999999995
503,Add,0.28543999999999997
504,Slice,0.04758
505,ReluGrad,0.05982
506,A_BNTrainingUpdateGrad,0.18002
507,A_BNTrainingReduceGrad,0.13068000000000002
508,Conv2DBackpropInput,0.4612
509,Conv2DBackpropFilter,0.27674
510,ReluGrad,0.029920000000000002
511,A_BNTrainingUpdateGrad,0.17698000000000003
512,A_BNTrainingReduceGrad,0.12982
513,Conv2DBackpropInput,0.47192
514,Conv2DBackpropFilter,0.2806
515,ReluGrad,0.029079999999999998
516,A_BNTrainingUpdateGrad,0.18031999999999998
517,A_BNTrainingReduceGrad,0.13091999999999998
518,Conv2DBackpropInput,0.6876400000000001
519,Conv2DBackpropFilter,0.29438
520,Add,0.28564
521,Slice,0.047299999999999995
522,ReluGrad,0.0589
523,A_BNTrainingUpdateGrad,0.17767999999999998
524,A_BNTrainingReduceGrad,0.13116
525,Conv2DBackpropInput,0.68928
526,Conv2DBackpropFilter,0.29306
527,Add,0.28796
528,Slice,0.022359999999999998
529,ReluGrad,0.05644
530,A_BNTrainingUpdateGrad,0.17806
531,A_BNTrainingReduceGrad,0.13008
532,Conv2DBackpropInput,0.6932200000000001
533,Conv2DBackpropFilter,0.2926
534,AvgPool2d_Backward,1.2519200000000001
535,Slice,0.05276
536,ReluGrad,0.06606000000000001
537,A_BNTrainingUpdateGrad,0.178
538,A_BNTrainingReduceGrad,0.13096000000000002
539,Conv2DBackpropInput,0.47562
540,Conv2DBackpropFilter,0.22061999999999998
541,ReluGrad,0.02754
542,A_BNTrainingUpdateGrad,0.15046
543,A_BNTrainingReduceGrad,0.11014
544,Conv2DBackpropInput,0.40972000000000003
545,Conv2DBackpropFilter,0.21559999999999999
546,ReluGrad,0.026260000000000002
547,A_BNTrainingUpdateGrad,0.15316000000000002
548,A_BNTrainingReduceGrad,0.11222
549,Conv2DBackpropInput,0.42069999999999996
550,Conv2DBackpropFilter,0.21674000000000002
551,ReluGrad,0.025920000000000002
552,A_BNTrainingUpdateGrad,0.15022
553,A_BNTrainingReduceGrad,0.11028
554,Conv2DBackpropInput,0.40886
555,Conv2DBackpropFilter,0.21558000000000002
556,ReluGrad,0.02578
557,A_BNTrainingUpdateGrad,0.15206
558,A_BNTrainingReduceGrad,0.11108
559,Conv2DBackpropInput,0.68986
560,Conv2DBackpropFilter,0.24481999999999998
561,Add,0.28434
562,Slice,0.048240000000000005
563,ReluGrad,0.05738
564,A_BNTrainingUpdateGrad,0.17930000000000001
565,A_BNTrainingReduceGrad,0.13108
566,Conv2DBackpropInput,0.47352000000000005
567,Conv2DBackpropFilter,0.22121999999999997
568,ReluGrad,0.02652
569,A_BNTrainingUpdateGrad,0.14934
570,A_BNTrainingReduceGrad,0.11073999999999999
571,Conv2DBackpropInput,0.40938
572,Conv2DBackpropFilter,0.21408
573,ReluGrad,0.02618
574,A_BNTrainingUpdateGrad,0.15108
575,A_BNTrainingReduceGrad,0.11244
576,Conv2DBackpropInput,0.68382
577,Conv2DBackpropFilter,0.24632000000000004
578,Add,0.28388
579,Slice,0.0487
580,ReluGrad,0.0571
581,A_BNTrainingUpdateGrad,0.17665999999999998
582,A_BNTrainingReduceGrad,0.131
583,Conv2DBackpropInput,0.6976
584,Conv2DBackpropFilter,0.29364
585,Add,0.2833
586,Slice,0.02262
587,ReluGrad,0.056100000000000004
588,A_BNTrainingUpdateGrad,0.17920000000000003
589,A_BNTrainingReduceGrad,0.13062
590,Conv2DBackpropInput,0.6987000000000001
591,Conv2DBackpropFilter,0.29014000000000006
592,AvgPool2d_Backward,1.2558599999999998
593,Slice,0.0544
594,ReluGrad,0.06642
595,A_BNTrainingUpdateGrad,0.17818
596,A_BNTrainingReduceGrad,0.13040000000000002
597,Conv2DBackpropInput,0.47717999999999994
598,Conv2DBackpropFilter,0.21982
599,ReluGrad,0.02634
600,A_BNTrainingUpdateGrad,0.15130000000000002
601,A_BNTrainingReduceGrad,0.11008
602,Conv2DBackpropInput,0.41312
603,Conv2DBackpropFilter,0.21484
604,ReluGrad,0.02604
605,A_BNTrainingUpdateGrad,0.14868
606,A_BNTrainingReduceGrad,0.11137999999999999
607,Conv2DBackpropInput,0.4065599999999999
608,Conv2DBackpropFilter,0.21593999999999997
609,ReluGrad,0.02644
610,A_BNTrainingUpdateGrad,0.15130000000000002
611,A_BNTrainingReduceGrad,0.10984000000000001
612,Conv2DBackpropInput,0.4233199999999999
613,Conv2DBackpropFilter,0.21488
614,ReluGrad,0.0256
615,A_BNTrainingUpdateGrad,0.15173999999999999
616,A_BNTrainingReduceGrad,0.11106
617,Conv2DBackpropInput,0.6874600000000001
618,Conv2DBackpropFilter,0.2486
619,Add,0.2866
620,Slice,0.048479999999999995
621,ReluGrad,0.0567
622,A_BNTrainingUpdateGrad,0.1784
623,A_BNTrainingReduceGrad,0.13134
624,Conv2DBackpropInput,0.47208
625,Conv2DBackpropFilter,0.22188000000000002
626,ReluGrad,0.026699999999999998
627,A_BNTrainingUpdateGrad,0.14866
628,A_BNTrainingReduceGrad,0.11009999999999999
629,Conv2DBackpropInput,0.41112
630,Conv2DBackpropFilter,0.21512
631,ReluGrad,0.02652
632,A_BNTrainingUpdateGrad,0.15104
633,A_BNTrainingReduceGrad,0.11102
634,Conv2DBackpropInput,0.6903599999999999
635,Conv2DBackpropFilter,0.24702000000000002
636,Add,0.28906
637,Slice,0.04846
638,ReluGrad,0.05682
639,A_BNTrainingUpdateGrad,0.1796
640,A_BNTrainingReduceGrad,0.13036
641,Conv2DBackpropInput,0.6964199999999999
642,Conv2DBackpropFilter,0.2948
643,Add,0.28326
644,Slice,0.02256
645,ReluGrad,0.05706
646,A_BNTrainingUpdateGrad,0.17672
647,A_BNTrainingReduceGrad,0.13058
648,Conv2DBackpropInput,0.69502
649,Conv2DBackpropFilter,0.2925
650,AvgPool2d_Backward,1.2604399999999998
651,Slice,0.054240000000000003
652,ReluGrad,0.06644
653,A_BNTrainingUpdateGrad,0.18044
654,A_BNTrainingReduceGrad,0.13072
655,Conv2DBackpropInput,0.32264
656,Conv2DBackpropFilter,0.21533999999999998
657,ReluGrad,0.022879999999999998
658,A_BNTrainingUpdateGrad,0.15244
659,A_BNTrainingReduceGrad,0.09294
660,Conv2DBackpropInput,0.25156
661,Conv2DBackpropFilter,0.14896
662,ReluGrad,0.02208
663,A_BNTrainingUpdateGrad,0.15456
664,A_BNTrainingReduceGrad,0.09228
665,Conv2DBackpropInput,0.24633999999999998
666,Conv2DBackpropFilter,0.14883999999999997
667,ReluGrad,0.023219999999999998
668,A_BNTrainingUpdateGrad,0.15522000000000002
669,A_BNTrainingReduceGrad,0.09373999999999999
670,Conv2DBackpropInput,0.25818
671,Conv2DBackpropFilter,0.14926000000000003
672,ReluGrad,0.02274
673,A_BNTrainingUpdateGrad,0.15366000000000002
674,A_BNTrainingReduceGrad,0.0927
675,Conv2DBackpropInput,0.6407999999999999
676,Conv2DBackpropFilter,0.21009999999999998
677,Add,0.29104
678,Slice,0.052899999999999996
679,ReluGrad,0.056240000000000005
680,A_BNTrainingUpdateGrad,0.17951999999999999
681,A_BNTrainingReduceGrad,0.13126
682,Conv2DBackpropInput,0.3236800000000001
683,Conv2DBackpropFilter,0.21747999999999998
684,ReluGrad,0.02314
685,A_BNTrainingUpdateGrad,0.15148000000000003
686,A_BNTrainingReduceGrad,0.09345999999999999
687,Conv2DBackpropInput,0.25122
688,Conv2DBackpropFilter,0.1487
689,ReluGrad,0.0232
690,A_BNTrainingUpdateGrad,0.15488
691,A_BNTrainingReduceGrad,0.09265999999999999
692,Conv2DBackpropInput,0.6376400000000001
693,Conv2DBackpropFilter,0.21024
694,Add,0.29076
695,Slice,0.05078
696,ReluGrad,0.05866
697,A_BNTrainingUpdateGrad,0.17682
698,A_BNTrainingReduceGrad,0.13176
699,Conv2DBackpropInput,0.6968199999999999
700,Conv2DBackpropFilter,0.29469999999999996
701,Add,0.28952
702,Slice,0.03534
703,MaxPoolGradWithArgmaxV1,1.73568
704,Slice,0.0263
705,ReluGrad,0.03228
706,A_BNTrainingUpdateGrad,0.10593999999999999
707,A_BNTrainingReduceGrad,0.07372
708,Conv2DBackpropInput,0.50324
709,Conv2DBackpropFilter,0.15094
710,ReluGrad,0.11406000000000001
711,A_BNTrainingUpdateGrad,0.22516
712,A_BNTrainingReduceGrad,0.30538
713,Conv2DBackpropInput,0.4137
714,Conv2DBackpropFilter,0.3307
715,ReluGrad,0.10662
716,A_BNTrainingUpdateGrad,0.1605
717,A_BNTrainingReduceGrad,0.20508
718,Conv2DBackpropInput,0.8090799999999999
719,Conv2DBackpropFilter,0.33026
720,Add,0.39492
721,Slice,0.09606
722,ReluGrad,0.10718000000000001
723,A_BNTrainingUpdateGrad,0.2463
724,A_BNTrainingReduceGrad,0.24934
725,Conv2DBackpropInput,4.2648
726,Conv2DBackpropFilter,0.92532
727,Add,0.38526
728,Slice,0.046020000000000005
729,ReluGrad,0.07665999999999999
730,A_BNTrainingUpdateGrad,0.16054
731,A_BNTrainingReduceGrad,0.19408
732,Conv2DBackpropInput,0.8205399999999999
733,Conv2DBackpropFilter,0.3332399999999999
734,AvgPool2d_Backward,1.48586
735,Slice,0.09966
736,ReluGrad,0.12122
737,A_BNTrainingUpdateGrad,0.2213
738,A_BNTrainingReduceGrad,0.28622000000000003
739,Conv2DBackpropInput,0.5578800000000002
740,Conv2DBackpropFilter,0.43338000000000004
741,ReluGrad,0.18364
742,A_BNTrainingUpdateGrad,0.22364
743,A_BNTrainingReduceGrad,0.32516
744,Conv2DBackpropInput,0.4076
745,Conv2DBackpropFilter,0.33227999999999996
746,ReluGrad,0.08372
747,A_BNTrainingUpdateGrad,0.15940000000000001
748,A_BNTrainingReduceGrad,0.20556
749,Conv2DBackpropInput,0.8165
750,Conv2DBackpropFilter,0.33388
751,Add,0.3943
752,Slice,0.06781999999999999
753,ReluGrad,0.07515999999999999
754,A_BNTrainingUpdateGrad,0.1628
755,A_BNTrainingReduceGrad,0.19066
756,Conv2DBackpropInput,0.47676
757,Conv2DBackpropFilter,0.42678
758,ReluGrad,0.030420000000000003
759,A_BNTrainingUpdateGrad,0.13429999999999997
760,A_BNTrainingReduceGrad,0.14764
761,Conv2DBackpropInput,0.8107
762,Conv2DBackpropFilter,0.2948
763,Add,0.40622
764,Slice,0.06734
765,ReluGrad,0.0768
766,A_BNTrainingUpdateGrad,0.16522
